execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,p_object_pool,p_model_pool_target_init,p_model_pool_non_target_init,seed_clone,seed_mutations,test_dir
8,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/LANG-9b
9,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/LANG-9b
10,lang,LANG-9b,9b,becnhmark/applications/LANG-bins/LANG-9b,lang3,becnhmark/crashes/LANG/LANG-9b/LANG-9b.log,yes,9f,5,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/LANG-9b
1,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
2,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
3,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
4,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
5,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
6,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
7,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
8,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
9,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
10,math,MATH-100b,100b,becnhmark/applications/MATH-bins/MATH-100b,math3,becnhmark/crashes/MATH/MATH-100b/MATH-100b.log,yes,100f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-100b
1,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
2,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
3,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
4,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
5,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
6,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
7,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
8,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
9,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
10,math,MATH-81b,81b,becnhmark/applications/MATH-bins/MATH-81b,math3,becnhmark/crashes/MATH/MATH-81b/MATH-81b.log,yes,81f,6,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-81b
1,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
2,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
3,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
4,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
5,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
6,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
7,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
8,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
9,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
10,math,MATH-98b,98b,becnhmark/applications/MATH-bins/MATH-98b,math3,becnhmark/crashes/MATH/MATH-98b/MATH-98b.log,yes,98f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-98b
1,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
2,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
3,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
4,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
5,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
6,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
7,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
8,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
9,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
10,mockito,MOCKITO-34b,34b,becnhmark/applications/MOCKITO-bins/MOCKITO-34b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-34b/MOCKITO-34b.log,yes,34f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-34b
1,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
2,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
3,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
4,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
5,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
6,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
7,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
8,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
9,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
10,mockito,MOCKITO-3b,3b,becnhmark/applications/MOCKITO-bins/MOCKITO-3b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-3b/MOCKITO-3b.log,yes,3f,12,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-3b
1,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
2,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
3,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
4,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
5,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
6,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
7,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
8,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
9,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
10,math,MATH-32b,32b,becnhmark/applications/MATH-bins/MATH-32b,math3,becnhmark/crashes/MATH/MATH-32b/MATH-32b.log,yes,32f,10,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-32b
1,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
2,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
3,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
4,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
5,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
6,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
7,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
8,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
9,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
10,math,MATH-89b,89b,becnhmark/applications/MATH-bins/MATH-89b,math3,becnhmark/crashes/MATH/MATH-89b/MATH-89b.log,yes,89f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MATH-89b
1,mockito,MOCKITO-12b,12b,becnhmark/applications/MOCKITO-bins/MOCKITO-12b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-12b/MOCKITO-12b.log,yes,12f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-12b
2,mockito,MOCKITO-12b,12b,becnhmark/applications/MOCKITO-bins/MOCKITO-12b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-12b/MOCKITO-12b.log,yes,12f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-12b
3,mockito,MOCKITO-12b,12b,becnhmark/applications/MOCKITO-bins/MOCKITO-12b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-12b/MOCKITO-12b.log,yes,12f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-12b
4,mockito,MOCKITO-12b,12b,becnhmark/applications/MOCKITO-bins/MOCKITO-12b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-12b/MOCKITO-12b.log,yes,12f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-12b
5,mockito,MOCKITO-12b,12b,becnhmark/applications/MOCKITO-bins/MOCKITO-12b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-12b/MOCKITO-12b.log,yes,12f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-12b
6,mockito,MOCKITO-12b,12b,becnhmark/applications/MOCKITO-bins/MOCKITO-12b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-12b/MOCKITO-12b.log,yes,12f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-12b
7,mockito,MOCKITO-12b,12b,becnhmark/applications/MOCKITO-bins/MOCKITO-12b,mockito,becnhmark/crashes/MOCKITO/MOCKITO-12b/MOCKITO-12b.log,yes,12f,1,0.8,0.5,0,0,62328,100,0.3,0.3,0.3,0.2,3,JarFiles/GGA-tests/MOCKITO-12b
